dur_qualtrics_sec,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q9_3_TEXT,Q9_5_TEXT,rep_avail,Q10,Q11,Q12,Q13,Q14,Q15
343,Reviewer5,Journal of Hydrology,10.1016/j.jhydrol.2017.09.047,"Li, Z.; Xu, X.; Xu, C.; Liu, M.; Wang, K.; Yi, R.; Smerdon, B.D. (2017) A synopsis of climate change effects on groundwater recharge. Journal of Hydrology. 555, 125-128.",Not applicable - dataless paper/review paper,,,,,,,,,,3,,,
416,Reviewer5,Journal of Hydrology,10.1016/j.jhydrol.2017.09.049,"Wang, K.; Yang, X.; Liu, X.; Liu, C. (2017) A simple analytical infiltration model for short-duration rainfall. Journal of Hydrology. 555, 141-154.","Some or all applicable (available, third party request, author request)",Data available  only in article figures/tables/text,,,,,,,,,2,,,
133,Reviewer4,Journal of Hydrology,10.1016/j.jhydrol.2017.09.050,"Morbidelli, R.; Saltalippi, C.; Flammini, A.; Cifrodelli, M.; Picciafuoco, T.; Corradini, C.; Casas-Castillo, M.C.; Fowler, H.J.; Wilkinson, S.M. (2017) Effect of temporal aggregation on the estimate of annual maximum rainfall depths for the design of hydraulic infrastructure systems. Journal of Hydrology. 554, 710-720.",Not specified where they got the data/where data is,,,No explanation where data is housed,,,,,,,5,,,
192,Reviewer4,Journal of Hydrology,10.1016/j.jhydrol.2017.09.052,"Wang, S.; Huang, G.H.; Baetz, B.W.; Cai, X.M.; Ancell, B.C.; Fan, Y.R. (2017) Examining dynamic interactions among experimental factors influencing hydrologic data assimilation with the ensemble Kalman filter. Journal of Hydrology. 554, 743-757.",Not specified where they got the data/where data is,,,No data or code for example,,,,,,,5,,,
168,Reviewer4,Journal of Hydrology,10.1016/j.jhydrol.2017.09.053,"Pavlovskii, I.; Hayashi, M.; Lennon, M.R. (2017) Transformation of snow isotopic signature along groundwater recharge pathways in the Canadian Prairies. Journal of Hydrology. NA, .","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Input data,Common file format /instructions to open",Excel spreadsheet of data included as supplemental material,,,,,,,5,,,
929,Reviewer6,Journal of Hydrology,10.1016/j.jhydrol.2017.10.002,"Allison, M.A.; Pratt, T.C. (2017) Discharge controls on the sediment and dissolved nutrient transport flux of the lowermost Mississippi River: Implications for export to the ocean and for delta restoration. Journal of Hydrology. 555, 1-14.",Not specified where they got the data/where data is,,,Discharge data for Mississippi River.,,,,,,,,,,
1232,Reviewer2,Journal of Hydrology,10.1016/j.jhydrol.2017.10.007,"Zhang, H.; Gorelick, S.M.; Zimba, P.V.; Zhang, X. (2017) A remote sensing method for estimating regional reservoir area and evaporative loss. Journal of Hydrology. 555, 213-227.","Some or all applicable (available, third party request, author request)",Data available  only in article figures/tables/text,,"Neat study. None of the input data (landsat images) or processing code is available. Some of this was done on Google Earth Engine, so hard to reproduce. But not available.",,,,,,,15,,,
252,Reviewer5,Journal of Hydrology,10.1016/j.jhydrol.2017.10.009,"Lu, H.; Ren, L.; Chen, Y.; Tian, P.; Liu, J. (2017) A cloud model based multi-attribute decision making approach for selection and evaluation of groundwater management schemes. Journal of Hydrology. 555, 881-893.",Not specified where they got the data/where data is,,,,,,,,,,2,,,
763,Reviewer2,Journal of Hydrology,10.1016/j.jhydrol.2017.10.016,"Danandeh Mehr, A.; Nourani, V.; Hrnjica, B.; Molajou, A.; Xu, F.; Liu, Y.; Zachara, J.; Bowden, M.; Kennedy, D.; Plymale, A.E.; Liu, C. (2017) Redox transformation and reductive immobilization of Cr(VI) in the Columbia River hyporheic zone sediments. Journal of Hydrology. 555, 278-287.","Some or all applicable (available, third party request, author request)",Data available  only in article figures/tables/text,,"Mostly lab study. No raw data (samples) presented, but some aggregate averages in figures and table. No data, code, or results presented for the modeling component",,,,,,,15,,,
416,Reviewer3,Journal of Hydrology,10.1016/j.jhydrol.2017.10.032,"Khaki, M.; Ait-El-Fquih, B.; Hoteit, I.; Forootan, E.; Awange, J.; Kuhn, M. (2017) A two-update ensemble Kalman filter for land hydrological data assimilation with an uncertain constraint. Journal of Hydrology. 555, 447-462.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc),Data available  only in article figures/tables/text","Code/Model/Software,Input data",Only data sources and links are given in tables. Data linked to NASA requires permission to access.,,,,,,,10,,,
523,Reviewer1,Journal of Hydrology,10.1016/j.jhydrol.2017.10.041,"Rajabi, M.M.; Ketabchi, H. (2017) Uncertainty-based simulation-optimization using Gaussian process emulation: Application to coastal groundwater management. Journal of Hydrology. 555, 518-534.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Code/Model/Software,Hardware/Software requirements",software used is referenced. Data is just provided in tables in text. ,,,,,,,10,,,
206,Reviewer4,Journal of Hydrology,10.1016/j.jhydrol.2017.10.065,"Doble, R.C.; Pickett, T.; Crosbie, R.S.; Morgan, L.K.; Turnadge, C.; Davies, P.J. (2017) Emulation of recharge and evapotranspiration processes in shallow groundwater systems. Journal of Hydrology. 555, 894-908.",Not specified where they got the data/where data is,,,,,,,,,,5,,,
504,Reviewer3,Journal of Hydrology,10.1016/j.jhydrol.2017.12.015,"Kwon, M.; Kwon, H.-H.; Han, D. (2017) A spatial downscaling of soil moisture from rainfall, temperature, and AMSR2 using a Gaussian-mixture nonstationary hidden Markov model. Journal of Hydrology. NA, .","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)",Input data,The website for data download is in Korean language,,,,,,,8,,,
832,Reviewer2,Journal of Water Resources Planning and Management,10.1061/(ASCE) WR.1943-5452.0000842,"Grubert, E.; Cook, M. (2017) Communication science for science communication: Water management for oil and natural gas extraction. Journal of Water Resources Planning and Management. 143, NA.","Some or all applicable (available, third party request, author request)",Data available  only in article figures/tables/text,,"This is a survey study of people. Some quotes (responses) presented in text. Survey questions presented as appendix. No repsentation of raw, uncoded and coded data.",,,,,,,12,,,
886,Reviewer5,Journal of Water Resources Planning and Management,10.1061/(ASCE)WR.1943-5452.,"Brady, J.; Gallagher, J.; Corcoran, L.; Coughlan, P.; McNabola, A. (2017) Effects of long-term flow variation on microhydropower energy production in pressure reducing valves in water distribution networks. Journal of Water Resources Planning and Management. 143, NA.",Not applicable - dataless paper/review paper,,,DOI has been deactivated ,,,,,,,3,,,
204,Reviewer1,Journal of Water Resources Planning and Management,10.1061/(ASCE)WR.1943-5452.0000712,"Macian-Sorribes, H.; Pulido-Velazquez, M. (2017) Integrating historical operating decisions and expert criteria into a DSS for the management of a multireservoir system. Journal of Water Resources Planning and Management. 143, NA.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)",Input data,Input data is in tables as part of the appendix. Equations and rules are also provided in the appendix,,,,,,,5,,,
507,Reviewer3,Journal of Water Resources Planning and Management,10.1061/(ASCE)WR.1943-5452.0000729,"Piller, O.; Elhay, S.; Deuerlein, J.; Simpson, A.R. (2017) Local sensitivity of pressure-driven modeling and demand-driven modeling steady-state solutions to variations in parameters. Journal of Water Resources Planning and Management. 143, NA.","Some or all applicable (available, third party request, author request)",Data available  only in article figures/tables/text,,Supplemental data link is broken. Supplemental material are given are in a file format that I am unaware of (.inp),,,,,,,8,,,
1167,Reviewer5,Journal of Water Resources Planning and Management,10.1061/(ASCE)WR.1943-5452.0000734,"Jiang, H.; Yu, Z.; Mo, C. (2017) Ensemble method for reservoir flood season segmentation. Journal of Water Resources Planning and Management. 143, NA.","Some or all applicable (available, third party request, author request)",Data available  only in article figures/tables/text,,,,,,,,,5,,,
1536,Reviewer5,Journal of Water Resources Planning and Management,10.1061/(ASCE)WR.1943-5452.0000738,"Goharian, E.; Burian, S.J.; Lillywhite, J.; Hile, R. (2017) Vulnerability assessment to support integrated water resources management of metropolitan water supply systems. Journal of Water Resources Planning and Management. 143, NA.",Not specified where they got the data/where data is,,,,,,,,,,5,,,
172,Reviewer4,Journal of Water Resources Planning and Management,10.1061/(ASCE)WR.1943-5452.0000744,"Shafiee, M.E.; Berglund, E.Z. (2017) Complex adaptive systems framework to simulate the performance of hydrant flushing rules and broadcasts during a water distribution system contamination event. Journal of Water Resources Planning and Management. 143, NA.",Not specified where they got the data/where data is,,,,,,,,,,5,,,
1290,Reviewer3,Journal of Water Resources Planning and Management,10.1061/(ASCE)WR.1943-5452.0000750,"Liang, Y.; Hui, C.W. (2017) Convexification of head loss equation: Application to water distribution system optimizations. Journal of Water Resources Planning and Management. 143, NA.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc),Data available  only in article figures/tables/text",Input data,"A numerical model is proposed in the study. The model is compared to previous models, only results are presented.",,,,,,,20,,,
242,Reviewer6,Journal of Water Resources Planning and Management,10.1061/(ASCE)WR.1943-5452.0000751,"McDonough, K.; Moore, T.; Hutchinson, S. (2017) Understanding the relationship between stormwater control measures and ecosystem services in an Urban watershed. Journal of Water Resources Planning and Management. 143, NA.","Some or all applicable (available, third party request, author request)","Data available  only in article figures/tables/text,Author Request",,,,,,,,,4,,,
1352,Reviewer3,Journal of Water Resources Planning and Management,10.1061/(ASCE)WR.1943-5452.0000752,"Gao, T. (2017) Pipe roughness estimation in water distribution networks using head loss adjustment. Journal of Water Resources Planning and Management. 143, NA.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Code/Model/Software,Input data","Software used for simulation is mentioned, which is easily downloadable. No instructions for using the software/data are given.",,,,,,,15,,,
346,Reviewer4,Journal of Water Resources Planning and Management,10.1061/(ASCE)WR.1943-5452.0000756,"Di Matteo, M.; Dandy, G.C.; Maier, H.R. (2017) Multiobjective optimization of distributed stormwater harvesting systems. Journal of Water Resources Planning and Management. 143, NA.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Directions to run,Code/Model/Software,Input data,Materials linked by unique and persistent identifiers,Common file format /instructions to open","All code, data, and results dumped to figshare with a DOI. Looks positive, but huge file (5Gb)",Yes,,,avail,No- Terminate,,10,,,
